date,song_rows,total_streams,tracks_with_valence,streams_with_valence,sad_streams,sad_songs_count,avg_valence,median_valence,std_valence,min_valence,max_valence,valence_coverage,stream_coverage,share_sad_streams,share_sad_songs,weighted_avg_valence
2020-10-22,52,604321.0,52,604321.0,238554.0,18,0.4505038461538462,0.467,0.2116147692698984,0.0596,0.884,1.0,1.0,0.39474716251793335,0.34615384615384615,0.4338195298525122
2020-10-23,51,648953.0,51,648953.0,238564.0,17,0.46306274509803913,0.467,0.21638022734139487,0.0596,0.931,1.0,1.0,0.36761367926490823,0.3333333333333333,0.45310449246709716
2020-10-24,56,765826.0,56,765826.0,270810.0,17,0.4970821428571429,0.494,0.22100315103236368,0.0605,0.931,1.0,1.0,0.3536181848096043,0.30357142857142855,0.4707937940210961
2020-10-25,59,715273.0,59,715273.0,275048.0,21,0.46676779661016965,0.473,0.2213068196595396,0.0605,0.931,1.0,1.0,0.384535694762699,0.3559322033898305,0.4523145046716426
2020-10-26,52,608536.0,52,608536.0,231523.0,18,0.45285,0.467,0.21438878784335053,0.0596,0.884,1.0,1.0,0.3804590032471374,0.34615384615384615,0.4450376934150156
2020-10-27,52,612580.0,52,612580.0,231382.0,18,0.45285,0.467,0.2143887878433506,0.0596,0.884,1.0,1.0,0.37771719612132293,0.34615384615384615,0.44630786280975554
2020-10-28,58,710756.0,58,710756.0,269054.0,20,0.4677448275862069,0.469,0.21289873070119575,0.0596,0.884,1.0,1.0,0.37854622402062027,0.3448275862068966,0.4525864137622476
2020-10-29,55,643747.0,55,643747.0,235608.0,18,0.4708290909090908,0.473,0.20720823188345913,0.0605,0.884,1.0,1.0,0.3659947153151782,0.32727272727272727,0.4559299518289018
2020-10-30,44,623158.0,44,623158.0,205992.0,13,0.4889909090909091,0.485,0.21468227341838111,0.0605,0.884,1.0,1.0,0.330561430648407,0.29545454545454547,0.4719207738647342
2020-10-31,59,807056.0,59,807056.0,254702.0,16,0.501993220338983,0.505,0.21295519106497396,0.0605,0.931,1.0,1.0,0.31559396126167205,0.2711864406779661,0.48241305138676843
2020-11-01,60,739639.0,60,739639.0,250634.0,18,0.49736000000000014,0.494,0.22208210437751572,0.0605,0.931,1.0,1.0,0.3388599032771393,0.3,0.47452528273928235
2020-11-02,60,760255.0,60,760255.0,261416.0,19,0.4751483333333333,0.483,0.20819203772826256,0.0605,0.884,1.0,1.0,0.343853049305825,0.31666666666666665,0.46406883769261653
2020-11-03,59,742696.0,59,742696.0,253453.0,18,0.47366949152542365,0.485,0.2141871396170256,0.0596,0.884,1.0,1.0,0.34126075810291157,0.3050847457627119,0.46265730689272616
2020-11-04,58,702549.0,58,702549.0,241185.0,18,0.47171034482758617,0.483,0.21051206882071455,0.0596,0.884,1.0,1.0,0.34329989794306165,0.3103448275862069,0.46154080242089884
2020-11-05,60,716972.0,60,716972.0,256009.0,20,0.4642749999999999,0.473,0.21260209880256176,0.0596,0.884,1.0,1.0,0.3570697321513253,0.3333333333333333,0.4568036040459041
2020-11-06,57,716171.0,57,716171.0,237076.0,16,0.49739649122807017,0.494,0.21622727045280082,0.0605,0.931,1.0,1.0,0.33103267236456096,0.2807017543859649,0.4746660615970206
2020-11-07,64,763654.0,64,763654.0,247155.0,17,0.5166187499999999,0.518,0.21860784914167475,0.0605,0.931,1.0,1.0,0.32364788241795367,0.265625,0.48648945150552464
2020-11-08,66,715835.0,66,715835.0,253367.0,21,0.498978787878788,0.494,0.22367344157543706,0.0605,0.947,1.0,1.0,0.3539460909287755,0.3181818181818182,0.47595006363198233
2020-11-09,60,707077.0,60,707077.0,261791.0,21,0.46536999999999995,0.473,0.2109318440007561,0.0596,0.884,1.0,1.0,0.37024397625718275,0.35,0.45682127717349025
2020-11-10,63,747287.0,63,747287.0,261649.0,20,0.48854920634920634,0.485,0.22169805743108079,0.0605,0.947,1.0,1.0,0.35013187704322435,0.31746031746031744,0.470921453738657
2020-11-11,68,777057.0,68,777057.0,261164.0,20,0.5041558823529413,0.505,0.2229150138454503,0.0605,0.947,1.0,1.0,0.3360937485924456,0.29411764705882354,0.48186736983258655
2020-11-12,67,763137.0,67,763137.0,269483.0,22,0.48161940298507455,0.485,0.2287146006647016,0.0596,0.947,1.0,1.0,0.3531253235002365,0.3283582089552239,0.4694728520567082
2020-11-13,60,773920.0,60,773920.0,246600.0,17,0.5007933333333333,0.494,0.21949902966208956,0.0605,0.947,1.0,1.0,0.3186375852801323,0.2833333333333333,0.48947233305768023
2020-11-14,63,796054.0,63,796054.0,255095.0,18,0.5172634920634921,0.518,0.22629147654154094,0.0605,0.947,1.0,1.0,0.32044936650026257,0.2857142857142857,0.4986999788959038
2020-11-15,66,743677.0,66,743677.0,252505.0,21,0.5064181818181818,0.505,0.23028312467588571,0.0605,0.947,1.0,1.0,0.33953584687976096,0.3181818181818182,0.4930358259029121
2020-11-16,61,659970.0,61,659970.0,228451.0,20,0.47882950819672127,0.483,0.22511311256363417,0.0605,0.947,1.0,1.0,0.3461536130430171,0.32786885245901637,0.475953280906708
2020-11-17,63,692729.0,63,692729.0,246961.0,22,0.46849523809523796,0.473,0.23017226678362748,0.0596,0.947,1.0,1.0,0.356504491655467,0.3492063492063492,0.4707504022496533
2020-11-18,66,768649.0,66,768649.0,268023.0,22,0.4805484848484847,0.483,0.2317248595557467,0.0596,0.947,1.0,1.0,0.3486936169825239,0.3333333333333333,0.47620571353114355
2020-11-19,64,718863.0,64,718863.0,255392.0,22,0.47861249999999994,0.473,0.22939625140513992,0.0596,0.947,1.0,1.0,0.3552721450401537,0.34375,0.4760490193541746
2020-11-20,54,737490.0,54,737490.0,242253.0,17,0.49941851851851854,0.484,0.221769135503376,0.0605,0.947,1.0,1.0,0.3284830980759061,0.3148148148148148,0.49197817570407715
