date,top200_rows,unique_tracks,tracks_with_valence,valence_coverage,avg_valence,sad_songs_count,share_sad_songs
2018-03-12,200,200,196,0.98,0.4609423469387755,60,0.3
2018-04-01,200,200,198,0.99,0.4993661616161616,59,0.295
2018-04-02,200,200,198,0.99,0.4750282828282828,63,0.315
2018-04-03,200,200,194,0.97,0.4989634020618557,55,0.275
2018-04-04,200,200,196,0.98,0.4866066326530612,57,0.285
2018-04-05,200,200,197,0.985,0.4946101522842639,56,0.28
2018-04-06,200,200,198,0.99,0.4954030303030303,56,0.28
2018-04-07,200,200,182,0.91,0.45211043956043956,67,0.335
2018-04-08,200,200,187,0.935,0.4788604278074866,57,0.285
2018-04-09,200,200,190,0.95,0.47096,56,0.28
2018-04-10,200,200,192,0.96,0.46538385416666667,58,0.29
2018-04-11,200,200,191,0.955,0.4646329842931937,56,0.28
2018-04-12,200,200,195,0.975,0.453711282051282,62,0.31
2018-05-01,200,200,197,0.985,0.4963375634517766,57,0.285
2018-05-02,200,200,198,0.99,0.4708717171717172,62,0.31
2018-05-03,200,200,194,0.97,0.4933634020618557,53,0.265
2018-05-04,200,200,196,0.98,0.4883515306122449,55,0.275
2018-05-05,200,200,197,0.985,0.5126888324873097,51,0.255
2018-05-06,200,200,197,0.985,0.4808827411167513,57,0.285
2018-05-07,200,200,184,0.92,0.45021793478260874,68,0.34
2018-05-08,200,200,187,0.935,0.472651871657754,58,0.29
2018-05-09,200,200,190,0.95,0.47297736842105265,55,0.275
2018-05-10,200,200,195,0.975,0.47375025641025637,56,0.28
2018-05-11,200,200,195,0.975,0.4565020512820513,59,0.295
2018-05-12,200,200,195,0.975,0.45734717948717946,63,0.315
2018-06-01,200,200,196,0.98,0.5033494897959183,55,0.275
2018-06-02,200,200,197,0.985,0.47568324873096446,59,0.295
2018-06-03,200,200,194,0.97,0.4965077319587629,53,0.265
2018-06-04,200,200,196,0.98,0.49374438775510204,52,0.26
2018-06-05,200,200,196,0.98,0.5045647959183673,54,0.27
2018-06-06,200,200,198,0.99,0.49263535353535354,55,0.275
2018-06-07,200,200,184,0.92,0.46315271739130437,63,0.315
2018-06-08,200,200,185,0.925,0.46147513513513516,59,0.295
2018-06-09,200,200,190,0.95,0.4804036842105263,54,0.27
2018-06-10,200,200,194,0.97,0.4786355670103093,54,0.27
2018-06-11,200,200,193,0.965,0.45324300518134714,60,0.3
2018-06-12,200,200,195,0.975,0.46082923076923077,62,0.31
2018-07-01,200,200,196,0.98,0.4995790816326531,58,0.29
2018-07-02,200,200,197,0.985,0.4822314720812183,58,0.29
2018-07-03,200,200,194,0.97,0.4896211340206186,57,0.285
2018-07-04,200,200,196,0.98,0.5158265306122449,48,0.24
2018-07-05,200,200,196,0.98,0.48949081632653063,58,0.29
2018-07-06,200,200,198,0.99,0.48793333333333333,55,0.275
2018-07-07,200,200,186,0.93,0.47932849462365595,61,0.305
2018-07-08,200,200,185,0.925,0.46043729729729727,59,0.295
2018-07-09,200,200,193,0.965,0.48160518134715025,56,0.28
2018-07-10,200,200,193,0.965,0.46371606217616584,61,0.305
2018-07-11,200,200,192,0.96,0.4598067708333333,58,0.29
2018-07-12,200,200,197,0.985,0.47481522842639595,58,0.29
2018-08-01,200,200,198,0.99,0.4823257575757576,62,0.31
2018-08-02,200,200,198,0.99,0.46815454545454543,64,0.32
2018-08-03,200,200,194,0.97,0.4962809278350515,56,0.28
2018-08-04,200,200,196,0.98,0.5128459183673469,50,0.25
2018-08-05,200,200,196,0.98,0.48800867346938775,56,0.28
2018-08-06,200,200,198,0.99,0.4919914141414141,53,0.265
2018-08-07,200,200,185,0.925,0.47711405405405405,61,0.305
